stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
abc,12-18-2020,S&P 500,-,-16.80,0.10%,204.08M,0.25%,19.86B,10.66,9.10,-42.01%,146.95M,-5.96%,-3408.70M,-,1.94,67.20%,1.82%,0.04%,189.89B,0.10,-530.90%,-0.62%,2.75,-2.50%,-4.99,-,8.28%,-8.20%,117.69,14.04%,22.45,4.32,8.04%,-145.30%,72.06 - 111.25,14.04%,1.76,13.30,8.70%,-105.20%,-13.28%,0.58,1.82%,0.60,6.90%,2.70%,33.89%,2.00,22000,1.00,7.90%,-2.70%,38.93,1.63% 2.03%,Yes,-,-,-1.80%,0.33,96.96,Yes,-,Nov 05 BMO,-,972.48K,96.48,2.40,-2.42%,-4.32%,0.02%,"163,782",-0.50%,large,19860000000.0
abcb,12-18-2020,-,11.52,3.30,0.30%,69.23M,5.56%,2.64B,10.43,3.64,-3.02%,65.72M,11.61%,229.00M,1.44,1.16,85.30%,2.76%,66.64%,741.80M,3.56,-1.60%,0.07%,4.56,69.54%,37.05,1.02,1.87%,1.20%,41.29,-10.77%,11.49,3.30,8.00%,9.20%,17.12 - 43.79,-10.77%,0.60,-,13.50%,15.20%,-12.61%,1.46,1.58%,-,31.10%,-,123.54%,1.36,2645,-,-4.50%,66.10%,60.73,3.16% 3.59%,Yes,0.19,445.10%,30.90%,0.25,37.96,Yes,0.19,Oct 22 AMC,18.20%,396.97K,38.27,1.60,2.43%,12.32%,46.20%,"50,739",0.82%,large,2640000000.0
abcl,12-18-2020,-,2283.33,0.02,23.40%,270.83M,-12.78%,11.13B,-,-,0.00%,191.87M,-,0.30M,-,-,-,0.50%,-,20.40M,545.64,-857.50%,-,0.50,-,-,-,-,-,-,-,0.34,122.19,-,-,37.62 - 71.91,-30.22%,-,-,-,-61.40%,-45.84%,-,-,5.60,-,-,3.54%,6.39,174,5.70,171.30%,-,-,9.26% -,No,0.31,-,-,0.77,41.10,Yes,0.27,-,-,1.92M,38.95,-,-15.61%,-15.61%,-15.61%,"756,867",-5.23%,large,11130000000.0
abcm,12-18-2020,-,-,-,-,226.55M,12.70%,5.09B,-,-,-,183.67M,17.79%,-,-,-,0.59%,0.16%,-,-,-,-,-,1.19,-,-,-,-,-,-,-,-,-,-,-,17.71 - 23.48,13.67%,0.15,-,-,-,-10.60%,-,0.67%,-,-,-,18.52%,0.73,1492,-,-9.90%,-,58.95,4.61% 3.15%,No,-,-,-,0.98,22.45,Yes,-,-,-,238.59K,20.99,1.70,6.54%,8.36%,8.36%,"119,786",-6.50%,large,5090000000.0
abeo,12-18-2020,-,-,-1.04,2.20%,93.77M,0.63%,165.01M,-,-0.62,-12.56%,82.55M,-0.62%,-84.80M,-,-0.11,38.40%,2.73%,57.84%,7.00M,23.57,-27.10%,-15.69%,0.97,-43.51%,1.23,1.31,25.30%,-47.00%,-,-50.76%,0.94,1.70,-,-62.00%,0.99 - 4.34,-50.76%,-,-,37.00%,-,-63.59%,1.70,-,2.70,-,-,59.68%,0.14,88,2.70,-,-,52.19,12.12% 8.47%,Yes,0.02,77.90%,-,0.57,1.61,Yes,0.00,-,-,2.32M,1.58,1.80,0.10%,14.06%,-28.39%,"676,909",-1.86%,small,165010000.0
abev,12-18-2020,-,17.33,0.18,-,15.74B,0.66%,47.99B,23.46,0.13,-,4.39B,17.68%,-,-,0.05,8.61%,1.55%,38.51%,-,-,-47.40%,-,2.88,14.66%,0.99,3.09,30.00%,-,3.23,-32.83%,-,-,-,-,1.85 - 4.61,-32.83%,0.10,-,39.83%,-,-34.47%,-,3.28%,-,-,-,63.13%,0.09,50000,-,30.50%,-,56.66,1.98% 2.95%,Yes,-,-8.90%,-,0.12,3.05,Yes,-,-,-,23.61M,3.02,3.20,0.89%,11.54%,23.24%,"1,441,247",-0.98%,large,47990000000.0
abg,12-18-2020,-,13.50,10.81,0.20%,19.20M,6.05%,2.81B,10.25,14.24,-4.69%,19.09M,29.41%,208.90M,0.73,4.07,-,12.18%,49.76%,6.79B,0.41,15.00%,-0.27%,11.09,93.68%,42.29,3.45,14.42%,6.70%,142.25,30.55%,0.21,686.27,18.50%,29.50%,39.36 - 150.00,30.55%,-,4.50,20.80%,11.30%,-1.97%,1.71,-,0.40,4.20%,17.00%,273.60%,6.43,8500,1.10,0.20%,5.20%,61.06,5.05% 4.51%,Yes,2.36,112.70%,3.10%,0.34,145.94,Yes,1.45,Oct 27 BMO,0.00%,209.56K,147.05,2.10,4.68%,16.07%,54.67%,"36,277",0.76%,large,2810000000.0
abio,12-18-2020,-,-,-2.65,0.30%,9.32M,-7.90%,38.96M,-,-,-,9.28M,-3.77%,-5.80M,-,-,8.50%,0.44%,-7.69%,-,-,59.80%,52.94%,0.08,-39.20%,8.35,0.49,-,-29.30%,-,-28.56%,5.35,0.76,-,-31.30%,2.21 - 22.00,-28.56%,-,-,41.30%,-,-81.64%,2.83,-,34.00,-,-,82.81%,0.23,9,34.00,-,-,45.48,4.36% 5.21%,Yes,0.00,56.70%,-,1.23,4.08,Yes,0.00,-,-,533.06K,4.04,-,-3.82%,-1.02%,-19.73%,"335,395",-0.98%,small,38960000.0
abm,12-18-2020,-,-,-0.02,1.00%,66.90M,-1.82%,2.55B,14.28,2.64,-4.73%,65.96M,-1.97%,0.40M,-,0.59,95.10%,1.31%,2.95%,5.99B,0.43,-99.80%,-1.64%,2.51,5.01%,22.43,1.68,10.54%,0.00%,49.00,0.08%,5.83,6.47,16.00%,0.00%,19.79 - 41.79,0.08%,0.76,6.89,-68.40%,1.90%,-9.02%,1.25,2.01%,1.50,4.10%,15.10%,92.11%,1.23,114000,1.50,-9.90%,1.60%,44.68,2.22% 3.08%,Yes,0.48,8.30%,0.00%,0.37,37.74,Yes,0.40,Dec 16 AMC,-,344.39K,38.02,2.00,-3.44%,-0.60%,8.68%,"64,852",0.74%,large,2550000000.0
abmd,12-18-2020,S&P 500,71.10,4.56,1.10%,45.10M,7.14%,14.67B,63.94,5.07,-19.37%,44.12M,18.18%,207.80M,4.16,1.13,98.20%,4.38%,16.91%,802.90M,18.27,-21.00%,-0.82%,6.68,26.92%,26.22,12.35,12.90%,16.70%,324.60,89.88%,11.77,27.52,17.10%,18.90%,119.01 - 328.83,89.88%,-,59.64,10.80%,17.90%,-1.66%,1.39,-,6.00,29.60%,80.80%,171.71%,9.81,1536,6.80,2.30%,27.30%,77.18,2.92% 3.52%,Yes,0.00,378.60%,25.90%,0.40,323.92,Yes,0.00,Oct 29 BMO,0.00%,289.20K,323.36,2.30,13.49%,16.99%,29.62%,"59,055",-0.17%,large,14670000000.0
