stock,date,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cap,size
ingr,12-18-2020,-,15.54,5.06,0.40%,67.20M,-1.21%,5.29B,12.23,6.43,0.00%,66.58M,0.42%,342.00M,8.18,1.46,89.80%,2.89%,5.24%,6.29B,0.84,-1.40%,0.08%,2.98,-6.17%,40.83,1.93,8.12%,5.50%,87.20,-15.36%,8.23,9.56,1.90%,12.80%,59.11 - 99.51,-15.36%,2.56,22.99,5.30%,11.10%,-20.94%,0.75,3.25%,1.60,1.80%,19.80%,33.09%,1.63,11000,2.50,3.10%,9.40%,48.76,1.58% 1.93%,Yes,0.79,-7.30%,5.40%,0.59,78.76,Yes,0.77,Nov 02 BMO,49.40%,647.39K,78.67,2.40,-1.47%,2.10%,-1.11%,"381,797",-0.11%,large,5290000000.0
inm,12-18-2020,-,-,-,0.90%,7.00M,2.17%,23.03M,-,-,0.00%,4.86M,-4.64%,-,-,-,6.42%,1.95%,-0.30%,-,-,-,-,1.10,-48.28%,-,-,-,-,-,-47.53%,-,-,-,-,2.95 - 10.63,-44.61%,-,-,-,-,-69.04%,-,-,-,-,-,11.53%,0.27,-,-,-,-,50.13,8.12% 7.65%,No,-,-,-,1.20,3.29,Yes,-,-,-,85.67K,3.29,-,3.57%,-7.93%,-31.40%,"103,227",0.00%,small,23030000.0
inmb,12-18-2020,-,-,-0.97,45.07%,12.93M,40.51%,222.65M,-,-1.39,0.00%,7.39M,99.54%,-11.20M,-,-0.31,12.60%,6.60%,65.74%,-,-,41.50%,61.92%,3.38,244.40%,3.19,5.40,-27.50%,-39.30%,20.00,179.86%,1.88,9.16,-,-41.20%,2.20 - 24.42,196.90%,-,-,-,-,-29.48%,-,-,17.70,-,-,682.73%,1.21,4,17.70,-,-,90.50,18.54% 9.81%,No,0.00,-28.00%,-,2.16,15.66,Yes,0.00,Nov 05 AMC,-,144.15K,17.22,1.70,65.45%,87.84%,117.85%,"311,142",9.93%,small,222650000.0
inmd,12-18-2020,-,34.46,1.38,42.45%,36.70M,0.19%,1.69B,21.61,2.20,0.00%,20.50M,5.93%,58.00M,2.50,0.62,45.10%,7.73%,27.16%,177.90M,9.49,129.40%,34.93%,2.24,69.15%,6.32,7.51,22.53%,24.10%,53.33,24.59%,6.59,7.20,13.80%,28.70%,13.14 - 53.20,21.12%,-,26.16,-,33.40%,-10.75%,-,-,6.80,-,85.20%,261.34%,1.66,251,7.20,49.30%,31.10%,65.13,2.83% 4.11%,Yes,0.00,36.80%,32.60%,0.31,47.48,Yes,0.00,Nov 12 BMO,0.00%,707.40K,47.48,1.30,4.76%,10.39%,42.98%,"221,416",0.00%,large,1690000000.0
inn,12-18-2020,-,-,-1.02,2.47%,104.20M,0.90%,929.56M,-,-0.96,0.00%,103.10M,0.45%,-106.00M,-,-0.41,93.70%,2.07%,68.41%,320.00M,2.90,-5.00%,-4.64%,2.42,58.35%,9.90,0.91,35.10%,-4.50%,9.92,-26.39%,0.38,23.77,-,-9.70%,2.32 - 12.42,-26.99%,-,-,71.90%,3.30%,-27.46%,2.43,-,-,6.40%,36.60%,288.36%,0.43,59,-,-60.80%,-19.50%,52.86,4.25% 4.63%,Yes,1.05,-593.00%,-33.10%,0.81,8.90,Yes,1.05,Nov 03 AMC,-,879.66K,9.01,1.70,-2.87%,13.83%,47.80%,"716,153",1.24%,small,929560000.0
ino,12-18-2020,-,-,-1.35,1.30%,169.41M,-12.12%,1.47B,-,-0.46,-10.23%,166.04M,-28.74%,-179.70M,-,-0.22,36.60%,31.65%,-24.62%,2.10M,700.71,-15.40%,8.98%,5.09,-58.74%,1.96,4.52,60.70%,-52.70%,13.71,175.70%,2.03,4.36,0.00%,-103.00%,2.95 - 33.79,168.18%,-,-,-14.60%,-137.90%,-73.81%,1.14,-,9.10,-17.00%,-,200.00%,0.81,190,9.10,-77.80%,-,34.34,8.20% 6.85%,Yes,0.17,147.10%,-,1.04,9.00,Yes,0.17,Nov 09 AMC,-,10.34M,8.85,2.90,-18.06%,-18.55%,-35.14%,"10,767,454",-1.67%,large,1470000000.0
inod,12-18-2020,-,-,-0.02,0.20%,24.47M,-8.15%,133.24M,-,-,-83.66%,22.20M,2.71%,-0.50M,-,-,22.20%,0.90%,71.52%,57.60M,2.31,-535.60%,11.53%,0.83,289.71%,1.05,5.05,-,-1.80%,5.00,334.43%,0.61,8.71,20.00%,-3.70%,0.75 - 6.25,364.91%,-,28.35,-10.00%,-5.20%,-15.20%,2.08,-,1.50,-1.10%,33.40%,606.67%,0.45,3599,1.50,5.80%,0.10%,54.79,5.03% 8.94%,Yes,0.29,137.50%,-1.60%,0.42,5.43,Yes,0.21,-,-,239.62K,5.30,-,-2.62%,26.63%,136.89%,"101,618",-2.39%,small,133240000.00000001
inov,12-18-2020,-,465.90,0.04,2.30%,149.72M,-1.73%,2.82B,24.82,0.73,0.59%,73.54M,-3.96%,5.80M,21.18,0.17,68.90%,5.04%,-32.07%,651.30M,4.33,119.40%,0.35%,6.40,-7.77%,4.55,3.99,24.70%,0.30%,24.81,-1.36%,-,-,22.00%,0.90%,13.39 - 27.93,-3.45%,-,24.26,-37.20%,4.50%,-34.94%,0.64,-,2.00,12.20%,74.80%,35.70%,0.62,2371,2.00,-3.10%,9.50%,38.75,2.67% 3.39%,Yes,1.35,-88.40%,0.90%,0.93,18.01,Yes,1.33,Oct 28 AMC,0.00%,578.63K,18.17,2.40,-3.19%,-8.91%,-11.75%,"539,329",0.89%,large,2820000000.0
inpx,12-18-2020,-,-,-9.69,0.09%,50.18M,-1.92%,51.19M,-,-,0.00%,42.45M,-4.67%,-38.00M,-,-,1.80%,6.46%,-5.56%,7.30M,7.01,-,45.15%,0.97,-19.05%,0.95,1.07,-,-100.20%,-,-93.11%,0.63,1.63,20.00%,-161.20%,0.92 - 29.25,-79.20%,-,-,-,-152.10%,-96.51%,2.17,-,2.90,-36.90%,73.30%,10.79%,0.05,69,2.90,73.30%,-,44.11,2.88% 4.16%,No,0.16,98.60%,-,0.72,1.04,Yes,0.00,Nov 12 AMC,-,2.82M,1.02,-,-2.37%,-2.92%,-16.50%,"2,017,097",-1.92%,small,51190000.0
ins,12-18-2020,-,37.04,1.08,0.30%,8.93M,0.80%,362.59M,18.74,2.14,0.00%,6.48M,2.22%,9.70M,-,0.23,50.50%,14.25%,-8.94%,36.60M,9.91,75.30%,-0.78%,19.85,17.52%,4.89,8.20,137.78%,19.20%,58.00,-1.43%,-,-,-,24.40%,23.26 - 45.47,0.43%,-,30.73,60.10%,29.10%,-11.79%,1.12,-,4.70,52.30%,60.30%,72.44%,1.29,530,4.70,8.40%,31.10%,52.02,2.93% 3.16%,No,0.00,-9.70%,26.60%,0.78,40.24,Yes,0.00,Nov 03 BMO,0.00%,46.51K,40.11,1.00,-1.10%,3.15%,12.43%,"36,404",-0.32%,small,362590000.0
inse,12-18-2020,-,-,-2.44,6.42%,22.41M,-3.38%,150.81M,-,-1.60,0.00%,14.81M,0.30%,-54.40M,-,-0.83,75.10%,0.90%,117.88%,194.40M,0.78,-70.30%,-0.96%,1.97,136.69%,-4.24,-,39.40%,-17.00%,9.33,-3.38%,-,-,10.00%,73.60%,1.87 - 7.32,-2.52%,-,6.76,-,-5.90%,-10.16%,1.38,-,0.90,-,76.10%,251.87%,0.33,1700,1.10,125.90%,-7.70%,55.32,3.34% 5.31%,No,-,103.40%,-28.00%,0.12,6.74,Yes,-,Nov 12 BMO,-,67.58K,6.58,2.00,-0.99%,15.19%,74.57%,"8,393",-2.37%,small,150810000.0
insg,12-18-2020,-,-,-1.22,0.50%,98.02M,-7.70%,1.53B,93.19,0.17,-90.89%,97.69M,52.87%,-113.80M,-,0.00,59.90%,27.45%,49.90%,280.10M,5.44,-324.00%,-2.39%,8.61,36.06%,-0.28,-,383.30%,-59.10%,13.75,108.21%,0.43,36.31,20.00%,581.30%,3.91 - 17.96,111.05%,-,245.97,13.10%,-18.10%,-13.86%,1.85,-,1.20,3.50%,28.40%,295.65%,1.07,938,1.50,43.90%,-33.50%,62.17,5.85% 8.32%,Yes,-,43.00%,-40.60%,0.53,15.77,Yes,-,Nov 05 AMC,-,3.11M,15.47,1.90,10.98%,38.39%,43.58%,"1,641,872",-1.87%,large,1530000000.0
insi,12-18-2020,-,16.06,1.33,-,10.71M,3.04%,228.77M,-,-,-,-,3.11%,-,-,-,41.54%,-,6.74%,10.20M,22.43,-,-,0.12,10.62%,21.88,0.98,-,-,-,8.21%,-,-,-,-,15.39 - 22.31,9.13%,0.80,-,-,-,-4.25%,-,3.75%,-,-,-,38.79%,0.40,-,-,-0.60%,-,61.33,2.88% 1.96%,No,-,66.20%,-,0.80,21.23,Yes,-,-,-,16.49K,21.36,-,2.16%,3.63%,8.33%,"13,169",0.61%,small,228770000.0
insm,12-18-2020,-,-,-2.60,0.60%,101.62M,-6.09%,3.39B,-,-2.68,-44.87%,100.82M,-14.95%,-244.90M,-,-0.68,-,9.51%,0.12%,168.70M,20.12,28.70%,-1.27%,11.38,12.58%,3.51,9.48,-0.80%,-31.10%,50.40,40.70%,5.77,5.77,-,-79.60%,12.09 - 42.71,39.41%,-,-,-10.40%,-38.20%,-22.06%,2.48,-,7.40,-,77.60%,175.35%,1.69,435,8.00,12.10%,-,33.31,4.19% 4.71%,Yes,1.03,7.90%,-,0.69,33.98,Yes,1.03,Oct 29 BMO,-,841.94K,33.29,1.80,-11.83%,-10.00%,14.83%,"577,233",-2.03%,large,3390000000.0
insp,12-18-2020,-,-,-2.32,0.60%,26.84M,-1.42%,5.07B,-,-2.29,-85.84%,25.92M,-0.93%,-58.80M,-,-0.48,-,2.91%,44.22%,96.30M,52.64,-49.70%,-3.02%,2.63,111.62%,8.53,22.05,5.00%,-26.40%,182.00,152.50%,8.71,21.61,4.80%,-32.20%,40.53 - 204.72,153.46%,-,-,-,-21.30%,-8.12%,-,-,14.20,-,84.70%,364.08%,6.69,239,14.70,71.30%,-60.80%,52.54,3.39% 3.75%,Yes,0.11,-12.30%,-61.10%,1.31,189.43,Yes,0.11,Nov 02 AMC,-,286.69K,188.09,1.80,-2.44%,9.21%,65.82%,"376,799",-0.71%,large,5070000000.0
insw,12-18-2020,-,3.69,4.42,1.30%,27.93M,-1.27%,456.75M,8.62,1.89,-1.62%,27.62M,-3.54%,127.20M,-,-0.04,97.20%,5.01%,9.74%,489.00M,0.93,99.10%,5.35%,7.48,3.81%,38.90,0.42,-59.04%,7.30%,25.10,-45.24%,4.91,3.33,-,12.10%,12.44 - 31.39,-45.13%,0.24,1.93,63.00%,3.20%,-47.98%,0.31,1.47%,2.10,-6.70%,65.80%,31.27%,0.81,1666,2.10,40.10%,37.50%,45.32,3.81% 4.41%,Yes,0.51,231.50%,26.00%,0.82,16.38,Yes,0.45,Nov 06 BMO,4.10%,185.10K,16.33,2.00,-5.70%,0.69%,-10.60%,"152,510",-0.31%,small,456750000.0
int,12-18-2020,-,11.90,2.62,0.20%,63.40M,0.45%,1.96B,15.16,2.06,-44.97%,61.48M,8.76%,169.70M,2.38,0.23,95.90%,2.02%,46.50%,25.01B,0.08,42.60%,0.28%,2.79,29.78%,30.22,1.03,50.00%,3.30%,26.50,-27.85%,9.09,3.43,5.00%,9.10%,18.36 - 44.01,-28.24%,0.40,4.29,-3.10%,9.70%,-29.20%,1.24,1.28%,1.40,-3.20%,3.90%,69.72%,1.05,5500,1.60,-51.90%,1.00%,57.29,2.35% 3.19%,Yes,0.27,75.70%,0.70%,0.77,31.45,Yes,0.26,Oct 29 AMC,15.20%,444.61K,31.16,2.50,1.50%,12.87%,23.73%,"343,181",-0.92%,large,1960000000.0
intc,12-18-2020,DJIA S&P500,9.77,5.10,0.05%,4.19B,6.98%,201.99B,10.99,4.53,-0.56%,4.10B,0.52%,21.95B,1.23,1.10,66.50%,1.79%,-4.63%,78.10B,2.59,6.60%,-,2.04,-15.74%,17.80,2.80,-6.98%,15.10%,52.05,-18.11%,4.50,11.07,7.94%,28.30%,43.61 - 69.29,-16.76%,1.32,13.70,15.20%,17.80%,-28.10%,0.73,2.65%,1.20,5.20%,56.50%,14.24%,1.41,110800,1.70,-4.50%,31.50%,56.11,3.31% 2.78%,Yes,0.49,-24.90%,28.10%,0.79,48.75,Yes,0.48,Jan 21 AMC,25.30%,36.03M,49.82,3.10,1.10%,4.37%,-6.71%,"28,491,676",2.19%,large,201990000000.0
intg,12-18-2020,-,-,-0.07,65.43%,2.29M,2.50%,66.72M,-,-,-0.17%,0.79M,-12.61%,0.40M,-,-,8.90%,0.91%,2.21%,45.80M,1.46,-400.00%,-,11.04,16.34%,-20.75,-,-,0.30%,-,6.42%,9.19,3.44,-,-0.90%,23.85 - 38.49,-15.56%,-,-,-27.40%,4.90%,-17.85%,0.59,-,-,-4.40%,14.80%,32.58%,1.62,7,-,-63.90%,-5.70%,45.92,1.66% 3.22%,No,-,1254.20%,0.90%,0.55,30.53,Yes,-,-,0.00%,0.65K,31.62,-,-5.90%,-3.79%,2.93%,359,3.55%,small,66720000.0
intt,12-18-2020,-,324.50,0.02,2.10%,10.27M,11.70%,63.73M,21.14,0.31,10.51%,8.78M,21.56%,0.20M,21.63,-0.03,45.50%,0.04%,36.34%,52.60M,1.21,-34.00%,-10.80%,0.12,96.07%,4.36,1.49,10133.33%,0.30%,7.08,11.89%,0.97,6.71,15.00%,0.50%,2.08 - 6.49,9.07%,-,26.55,-7.40%,5.10%,0.00%,1.99,-,2.10,7.70%,45.40%,212.01%,0.32,198,2.90,-1.40%,-0.40%,72.97,6.57% 5.59%,No,0.00,-28.20%,0.40%,2.66,6.13,Yes,0.00,Nov 10 AMC,0.00%,30.90K,6.49,1.70,17.81%,25.07%,57.23%,"82,256",5.87%,small,63730000.0
intu,12-18-2020,S&P 500,51.00,7.45,0.20%,263.00M,0.78%,98.69B,38.98,9.75,-39.91%,255.04M,6.45%,1.97B,4.73,1.28,88.10%,0.86%,14.30%,7.84B,12.59,17.30%,0.32%,1.83,24.42%,19.94,19.05,15.97%,22.40%,403.41,42.71%,22.30,17.04,10.79%,41.80%,187.68 - 387.94,45.02%,2.36,50.64,36.80%,21.30%,-2.09%,0.98,0.62%,3.10,12.90%,82.90%,102.40%,8.00,10600,3.10,13.60%,30.30%,60.66,1.80% 2.12%,Yes,0.45,246.10%,25.10%,0.82,375.55,Yes,0.39,Nov 19 AMC,28.20%,1.20M,379.85,2.10,2.27%,7.25%,23.22%,"982,062",1.14%,large,98690000000.0
intz,12-18-2020,-,-,-0.17,22.80%,14.45M,-7.70%,314.52M,1762.00,0.01,0.00%,8.57M,25.86%,-2.40M,-,-0.19,7.30%,1.25%,35.85%,7.60M,41.38,97.60%,-0.15%,0.83,186.50%,0.09,195.78,102.50%,-40.70%,17.00,220.36%,0.08,209.68,-,-189.00%,2.26 - 19.72,220.36%,-,-,59.80%,250.40%,-10.65%,1.19,-,1.40,13.60%,59.90%,679.65%,1.40,32,1.40,-59.00%,-29.00%,60.67,6.70% 9.68%,No,0.46,-205.90%,-31.60%,0.70,17.52,Yes,0.15,Nov 12 AMC,-,128.15K,17.62,2.00,6.72%,31.86%,90.95%,"89,832",0.57%,small,314520000.0
inuv,12-18-2020,-,-,-0.12,10.50%,92.11M,-11.02%,47.89M,-,-0.05,0.00%,87.61M,10.46%,-7.40M,-,-0.02,31.20%,4.15%,29.03%,50.00M,0.96,41.60%,31.49%,1.20,-19.02%,0.28,1.62,54.50%,-24.00%,-,49.30%,0.09,5.04,30.00%,-43.80%,0.09 - 1.11,53.16%,-,-,-26.60%,-44.90%,-59.20%,1.33,-,2.00,4.40%,76.90%,389.09%,0.04,64,2.00,-33.30%,-21.80%,57.07,11.44% 9.14%,No,0.06,-269.10%,-14.90%,0.63,0.46,Yes,0.05,Nov 09 AMC,-,3.03M,0.45,2.30,8.28%,15.17%,8.00%,"1,910,019",-1.07%,small,47890000.0
inva,12-18-2020,-,6.39,1.94,31.97%,101.36M,3.77%,1.22B,8.21,1.51,0.00%,68.98M,16.89%,216.40M,0.33,0.41,77.00%,13.57%,20.64%,322.30M,3.77,-60.20%,-3.31%,12.79,-11.44%,4.79,2.59,-12.21%,26.10%,10.00,-11.06%,4.88,2.54,19.34%,52.90%,7.58 - 15.62,-12.50%,-,-,32.70%,29.60%,-20.68%,0.61,-,146.80,98.70%,-,63.46%,0.37,5,146.80,34.80%,96.20%,65.60,2.72% 3.36%,Yes,0.79,-26.30%,67.20%,0.52,12.23,Yes,0.79,-,0.00%,731.95K,12.39,4.00,8.29%,13.97%,1.12%,"379,729",1.27%,large,1220000000.0
inve,12-18-2020,-,-,-0.42,4.60%,18.14M,17.40%,153.17M,-,-0.01,-3.68%,16.86M,18.72%,-7.30M,-,0.01,42.30%,0.64%,40.26%,81.10M,1.89,63.50%,15.31%,1.57,80.08%,1.87,4.55,96.40%,-9.50%,8.83,44.56%,0.68,12.45,-,-21.60%,2.11 - 7.89,50.71%,-,-,42.80%,-0.80%,7.73%,1.52,-,0.80,0.60%,40.30%,302.82%,0.42,289,1.30,8.30%,-5.90%,70.47,6.18% 5.83%,Yes,0.73,-86.50%,-9.00%,2.55,7.46,Yes,0.01,Nov 10 AMC,-,69.01K,8.50,2.00,15.70%,21.53%,61.36%,"175,942",13.94%,small,153170000.0
invh,12-18-2020,-,91.95,0.32,0.20%,560.60M,3.70%,16.38B,101.71,0.29,-15.49%,559.22M,1.54%,177.10M,8.52,0.06,-,2.04%,3.23%,1.80B,9.08,7.40%,-0.12%,3.36,5.21%,14.77,2.01,1.39%,1.00%,33.94,0.78%,1.01,29.27,10.79%,2.20%,15.64 - 32.70,-0.90%,0.60,79.55,18.20%,2.40%,-9.17%,0.80,2.02%,-,21.80%,59.10%,89.90%,0.63,1140,-,3.60%,24.80%,57.10,1.68% 2.30%,Yes,1.01,-7.20%,9.80%,0.66,29.53,Yes,1.01,Oct 28 AMC,179.00%,3.39M,29.70,1.90,1.88%,3.43%,9.85%,"2,229,080",0.58%,large,16379999999.999998
inzy,12-18-2020,-,-,-,19.70%,18.10M,-19.97%,502.38M,-,-2.50,0.00%,7.32M,-19.25%,-,-,-0.55,88.70%,4.66%,-15.17%,-,-,-183.20%,-,7.20,-,9.28,2.22,46.20%,-,36.67,-,6.55,3.15,-11.60%,-,16.10 - 31.65,17.67%,-,-,-,-,-34.79%,-,-,16.70,-,-,28.20%,1.77,24,16.70,-,-,39.06,8.09% 7.67%,No,0.00,-534.30%,-,0.79,21.64,Yes,0.00,-,-,47.36K,20.64,1.50,-12.88%,-15.06%,-15.04%,"37,599",-4.62%,small,502380000.0
io,12-18-2020,-,-,-2.71,2.50%,14.28M,-3.19%,37.30M,-,-1.84,0.00%,10.74M,27.89%,-38.60M,-,-0.54,35.80%,9.18%,67.59%,138.10M,0.27,34.40%,-7.26%,2.16,-3.95%,-4.28,-,17.50%,-16.30%,4.00,-70.93%,3.33,0.73,18.00%,83.90%,1.13 - 8.83,-72.00%,-,1.43,21.90%,-38.40%,-72.49%,4.11,-,0.60,-19.30%,36.00%,115.04%,0.19,519,0.70,-69.50%,-14.60%,56.31,5.45% 9.13%,Yes,-,-343.00%,-27.90%,0.17,2.49,Yes,-,Nov 04 AMC,-,455.92K,2.43,2.70,1.61%,25.62%,19.15%,"78,227",-2.41%,small,37300000.0
ions,12-18-2020,-,114.45,0.49,0.30%,139.71M,-6.19%,7.98B,-,-0.77,-41.20%,132.87M,10.60%,73.40M,-,0.28,87.00%,5.44%,18.38%,932.70M,8.56,572.90%,-1.25%,6.09,-6.99%,9.90,5.71,-54.00%,2.30%,65.37,-7.14%,16.50,3.43,-,5.30%,39.32 - 64.34,-6.41%,-,44.83,52.40%,13.40%,-12.12%,1.41,-,10.30,39.30%,99.00%,43.79%,2.01,817,10.40,-4.60%,9.60%,59.80,3.38% 3.96%,Yes,0.59,-221.40%,7.90%,0.76,57.20,Yes,0.59,Nov 04 BMO,0.00%,1.19M,56.54,2.60,7.36%,12.07%,6.14%,"904,020",-1.15%,large,7980000000.0
ior,12-18-2020,-,12.38,0.94,87.71%,4.17M,-1.69%,50.75M,-,-,0.00%,0.51M,-4.90%,3.90M,-,-,1.10%,0.04%,-10.46%,-,-,-49.60%,-,0.17,-7.07%,24.74,0.47,-,3.90%,-,8.79%,0.02,507.50,-,3.90%,8.32 - 17.00,-11.82%,-,13.01,21.60%,-,-31.53%,0.30,-,-,-,-,39.90%,0.40,-,-,-,-,50.10,0.00% 1.59%,No,0.00,-26.10%,-,0.25,11.32,Yes,0.00,-,0.00%,1.14K,11.64,-,1.08%,-4.48%,-5.68%,283,2.83%,small,50750000.0
iosp,12-18-2020,-,62.31,1.46,0.70%,24.57M,2.29%,2.21B,23.00,3.95,-4.48%,24.25M,7.76%,37.20M,8.31,0.71,96.60%,1.39%,44.08%,1.27B,1.74,14.70%,-1.18%,2.76,15.79%,37.67,2.41,48.31%,2.70%,90.00,-12.46%,2.74,33.17,7.50%,4.00%,56.71 - 107.85,-12.29%,1.04,21.18,6.10%,11.40%,-15.87%,1.33,1.15%,1.30,9.50%,29.10%,59.99%,2.73,2000,2.30,-28.70%,3.80%,62.82,2.18% 2.69%,Yes,0.00,-58.20%,2.90%,0.61,90.27,Yes,0.00,Nov 03 AMC,68.40%,121.95K,90.73,2.00,3.74%,13.28%,21.80%,"74,793",0.51%,large,2210000000.0
iova,12-18-2020,-,-,-1.93,0.77%,146.49M,-6.66%,6.83B,-,-2.04,0.00%,135.48M,12.29%,-254.80M,-,-0.44,99.60%,12.12%,37.93%,-,-,-25.10%,-0.98%,10.91,59.50%,4.86,9.55,-10.30%,-45.60%,49.73,73.91%,4.85,9.56,-,-50.60%,18.70 - 52.43,67.63%,-,-,-27.00%,-,-11.50%,0.92,-,11.20,-,-,148.13%,2.56,148,11.20,-,-,53.13,6.04% 5.92%,Yes,0.00,-0.20%,-,0.48,48.76,Yes,0.00,Nov 05 AMC,-,1.50M,46.40,1.80,-1.76%,11.94%,36.31%,"722,606",-4.84%,large,6830000000.0
ip,12-18-2020,S&P 500,39.68,1.25,0.24%,393.10M,0.34%,19.46B,13.61,3.65,-5.17%,392.17M,-0.26%,495.00M,16.39,0.78,84.60%,2.15%,24.46%,20.84B,0.93,-21.80%,1.35%,3.01,40.65%,18.04,2.76,29.96%,1.50%,50.70,9.23%,14.12,3.52,2.42%,6.90%,26.38 - 51.99,7.97%,2.05,14.06,18.40%,8.60%,-4.37%,1.10,4.12%,1.10,-1.10%,31.00%,88.48%,0.97,51000,1.30,-8.00%,6.40%,55.23,1.52% 1.85%,Yes,1.23,-40.60%,2.40%,0.48,49.64,Yes,1.20,Oct 29 BMO,163.10%,2.80M,49.72,2.60,1.06%,3.10%,27.90%,"1,335,322",0.16%,large,19460000000.0
ipar,12-18-2020,-,60.49,1.00,0.10%,31.53M,1.70%,1.91B,42.90,1.41,-58.70%,17.60M,8.50%,31.70M,5.04,0.10,57.50%,2.51%,60.75%,532.80M,3.59,11.40%,-1.23%,3.20,26.20%,15.84,3.82,67.66%,4.00%,55.25,-16.58%,6.46,9.36,12.00%,6.70%,34.20 - 75.00,-16.81%,-,116.52,14.90%,15.40%,-19.35%,0.95,-,3.00,7.40%,54.00%,76.87%,1.68,402,4.50,-16.00%,10.50%,70.47,2.74% 2.90%,Yes,0.05,-20.50%,5.90%,0.47,60.01,Yes,0.04,Nov 09 AMC,65.70%,138.05K,60.49,2.80,4.19%,14.81%,31.44%,"65,466",0.80%,large,1910000000.0
ipdn,12-18-2020,-,-,-0.40,17.60%,12.49M,103.94%,34.60M,-,-,0.00%,5.74M,56.97%,-4.20M,-,-,0.60%,3.37%,170.69%,4.20M,8.24,85.20%,-56.71%,0.07,-10.07%,0.26,9.96,-,-75.70%,-,-17.52%,0.20,12.82,-,-227.50%,0.76 - 5.56,184.62%,-,-,34.90%,-108.40%,-53.42%,2.21,-,0.80,-15.50%,82.70%,240.74%,0.46,38,0.80,0.00%,-86.30%,73.39,50.59% 20.22%,No,0.22,20.70%,-,2.09,2.74,Yes,0.16,-,-,2.64M,2.59,-,75.83%,103.54%,91.07%,"5,499,932",-5.47%,small,34600000.0
ipg,12-18-2020,S&P 500,16.33,1.44,0.20%,389.60M,0.00%,9.17B,12.75,1.85,-41.58%,387.31M,3.20%,567.70M,9.07,0.80,-,4.19%,40.25%,9.41B,0.97,5.40%,-1.45%,4.05,37.87%,6.99,3.36,12.84%,3.50%,23.79,3.57%,4.17,5.63,1.80%,21.70%,11.63 - 25.20,1.82%,1.02,10.61,8.40%,13.70%,-6.67%,1.01,4.34%,1.00,6.30%,14.40%,102.24%,0.55,54300,1.00,-12.80%,8.30%,56.01,1.73% 2.25%,Yes,1.46,68.00%,6.00%,0.51,23.46,Yes,1.25,Oct 21 BMO,68.40%,4.01M,23.52,2.40,-0.72%,8.27%,28.97%,"2,041,529",0.26%,large,9170000000.0
ipgp,12-18-2020,S&P 500,113.48,1.97,15.00%,53.10M,1.65%,11.89B,46.93,4.77,-3.15%,35.76M,7.65%,105.80M,5.30,0.95,66.50%,2.87%,29.36%,1.17B,10.15,-56.00%,1.19%,4.11,40.68%,46.52,4.81,52.80%,3.90%,209.29,52.78%,24.51,9.13,21.40%,4.40%,98.04 - 227.09,54.42%,-,49.09,-2.50%,6.80%,-1.45%,1.48,-,8.20,11.30%,44.10%,128.26%,5.06,5960,10.10,-3.30%,11.40%,67.91,2.10% 2.33%,Yes,0.02,-37.90%,9.00%,0.79,224.29,Yes,0.01,Oct 30 BMO,0.00%,249.41K,223.79,2.30,4.14%,9.00%,34.56%,"197,528",-0.22%,large,11890000000.0
ipha,12-18-2020,-,-,-,1.55%,78.96M,-5.32%,322.96M,-,-0.17,0.00%,51.46M,-25.64%,-,-,-,2.27%,0.10%,6.23%,-,-,-,-,2.41,-40.29%,-,-,-,-,6.40,-36.39%,-,-,-,-,3.30 - 8.24,-36.49%,-,-,-,-,-50.36%,-,-,-,-,-,23.94%,0.28,247,-,-37.90%,-,40.45,4.03% 5.13%,No,-,-,-,0.57,4.31,No,-,-,-,20.66K,4.09,2.20,-12.19%,-10.46%,-26.51%,"11,780",-5.10%,small,322960000.0
iphi,12-18-2020,-,-,-1.29,1.20%,51.97M,1.09%,8.27B,43.06,3.73,-52.12%,51.67M,4.75%,-61.10M,-,0.88,98.20%,4.98%,41.35%,598.30M,13.82,26.40%,2.45%,2.15,36.16%,7.17,22.38,11.99%,-5.90%,160.36,110.45%,4.33,37.09,37.60%,-17.20%,55.72 - 162.08,116.79%,-,121.45,-7.60%,-6.10%,-0.99%,1.07,-,1.40,30.60%,55.10%,187.99%,3.52,685,1.90,91.80%,-6.10%,64.83,2.24% 2.21%,Yes,1.36,81.70%,-10.20%,0.56,160.34,Yes,1.07,Oct 29 AMC,-,1.20M,160.47,2.20,3.68%,9.91%,35.84%,"669,355",0.08%,large,8270000000.0
